Total_position,Total_company,Salary_per_month
实习生,中视和新创意文化有限公司,10000.0
物流跟单员,北京德润嘉尚广告有限公司,10000.0
AE（北京）,《中国经营报》社,7000.0
图书销售,势能整合营销传播机构,3000.0
销售专员,北京村木田国际文化传媒有限公司,4000.0
公关/媒介助理,八九八创新空间（北京）科技有限公司,3000.0
医学助理,北京大道造物文化发展有限公司,3000.0
平面设计师,AGE艾加国际金融咨询集团,3000.0
行政前台,北京海纳玉德文化发展有限公司,6000.0
特效统筹,北京瑞恩恒信文化传媒有限公司,4000.0
销售代表,北京晟宝广告有限公司,3000.0
产品助理（000625）,康迅世纪国际广告（北京）有限公司,6000.0
管理培训生（北京）,北京伟南科技开发有限责任公司,4000.0
版权专员,中国早教论坛,4500.0
艺人模特主播,北京海纳三川文化传媒有限公司,2000.0
销售顾问,北京华瑞佳音科技有限责任公司,4000.0
精准营销专员,北京万方数据股份有限公司,8000.0
新媒体运营助理,上海迪岸广告有限公司,6000.0
客户执行（客户服务）,公司名,0
广告销售,我看网络技术（北京）有限公司,4000.0
营销实习生,上海沐田网络科技有限公司北京分公司,6000.0
助理医学编辑,北京逸程国际旅行社有限公司,8000.0
Market Research Assistant——市场调研助理,永乐票务,3500.0
英语翻译,北京品友互动信息技术股份公司,6000.0
运营实习生,上海前景传媒股份有限公司,4000.0
活动策划/执行（实习生）,南京乔恩广告传播有限公司,4000.0
新媒体接线专员,上海拓畅信息技术有限公司北京分公司,5000.0
行政助理,北京美赞广告有限公司,3000.0
销售专员 销售代表 销售顾问,法兰克福展览（上海）有限公司,5000.0
实习编辑,弘颍源（北京）文化传媒有限公司,4500.0
新媒体后台运营,北京天下秀科技股份有限公司,3000.0
音乐教研员助理  实习生,北京道略管理咨询有限公司,3000.0
销售专员,北京荣会文化发展有限公司,4500.0
行政文员,朗沃（北京）营销策划有限公司,4500.0
实习编辑-北京,中视群力（北京）文化传媒有限公司,3000.0
课程顾问   六险一金+包住+高提成,北京车影文化传媒有限公司,3000.0
电话销售+高底薪+高提成+饭补+话补,北京正诺文化传播有限公司,6000.0
销售助理,北京维童之友国际教育管理顾问有限...,3000.0
网站采编（工科专业）,科威嘉尼（北京）科技有限公司,8000.0
英文编辑实习生,瑞庭网络技术（上海）有限公司北京...,3000.0
媒介专员,凤凰含章文化传媒（天津）有限公司,3000.0
动画后期总监,证券市场红周刊,8000.0
