Total_position,Total_company,Salary_per_month
手机直播/网络主播/视频主播/歌手/主持人模特礼仪迎宾,四川唯二文化传播有限公司,3500.0
网络主播,成都二十五帧文化传媒有限公司,2500.0
漫画助理(上色),成都华麟文化传播有限公司,6000.0
儿童剧演员,四川朗骏文化传播有限公司,3000.0
人事顾问,成都嘉尚广告传媒股份有限公司,4500.0
市场BD,成都匠客儿文化传媒有限公司,6000.0
实习销售助理,四川好声音文化传播有限公司,5000.0
市场实习生,成都璀璨明鑫文化传播有限公司,3000.0
文案策划,成都魔法文化传播有限公司,3000.0
广告创意/设计师,四川壹生童真文艺演出有限公司,4000.0
主持、主播,成都天歌文化传媒有限公司,3500.0
广告客户经理,北京热度文化传媒有限公司,5000.0
熊猫专职主播,成都丽焰堂文化传播有限公司,6000.0
影院服务员,成都金音符文化传播有限公司,2500.0
人事行政专员,成都亿思堂广告有限公司,2000.0
家电学徒工,成都市温江区惠捷阳狮广告有限公司,3000.0
急信贷专员（月薪过万）,成都琨晓文化传媒有限公司,4500.0
网络主播 手机主播  视频主播,成都纳图文化传播有限公司,3000.0
实习生-策划,四川寰升文化传媒有限公司,5000.0
电销网销,成都市电影集团有限责任公司,2500.0
电商实习生,成都瑞和麦田广告有限公司,3000.0
总经理助理,成都悦养乐活文化传播有限公司,3000.0
spine/live2d动画实习生,四川统领企业管理咨询有限公司,6000.0
互动设计（实习生）,深圳市话社星聚文化传媒有限公司,4000.0
广告制作学徒,四川博亨润海广告有限公司,1200.0
客户执行（实习AE）,成都京华美商务服务有限公司,2000.0
助理文案（欢迎应届毕业生）,成都高戈互动品牌营销策划有限公司,1500.0
实习平面设计师,成都香颂文化传播有限公司,6000.0
电话销售/客服专员/销售代表,成都动画谷数码科技有限公司,0
销售顾问5000-8000元/月,华扬联众成都分公司,1500.0
运营专员,公司名,0
主播/网红艺人/签约艺人,成都巴蜀思维广告有限公司,1500.0
主播/网红艺人/模特,成都璞案广告有限公司,1000.0
主播/网红艺人,成都灵熙广告营销有限公司,1500.0
主播/网红艺人,成都量子广告有限公司,0
主播/网红艺人,成都三三九广告有限公司,4500.0
主播/网红艺人,四川盛德数科科技有限公司,6000.0
主播/网红艺人/签约艺人,成都紫光影视文化传媒有限公司,4000.0
主播/网红艺人/签约艺人,四川麦播时尚影视传媒有限公司,12500.0
主播/网红艺人/签约艺人,四川麦播时尚影视传媒有限公司,12500.0
网络销售底薪3.5K高提+多福利,四川麦播时尚影视传媒有限公司,12500.0
直播经纪人,四川麦播时尚影视传媒有限公司,12500.0
熊猫官方招募主播（可兼/全职）,四川麦播时尚影视传媒有限公司,12500.0
运营储备干部（2018届实习生）,四川麦播时尚影视传媒有限公司,12500.0
主播/网红艺人,四川麦播时尚影视传媒有限公司,12500.0
10K  金融销售代表,四川麦播时尚影视传媒有限公司,12500.0
直招游戏推广无责3200+提成+奖金+补助,四川麦播时尚影视传媒有限公司,12500.0
客服专员,成都友利莱文化传播有限公司,6000.0
婚礼顾问,四川滚滚文化传媒有限公司,4500.0
宴会顾问,成都华星兄弟文化传媒有限公司,10000.0
婚礼销售策划（婚品汇）,成都华星兄弟文化传媒有限公司,3000.0
数码客服,四川麦播时尚影视传媒有限公司,12500.0
客服专员,四川盛德数科科技有限公司,6000.0
急聘底薪3K+网销+下午茶,成都易文达商贸有限公司,6000.0
地铁口+3k+网络销售,成都婚加文化传播有限公司,4500.0
