Total_position,Total_company,Salary_per_month
网络销售专员,深圳市帝景天下广告传媒有限公司,4500.0
三维设计师,珠海闲云艺术有限公司,4000.0
销售代表,深圳乐享互动科技有限公司,3000.0
广告项目专员（实习生皆可）,深圳市奥尔美广告有限公司,0
业务专员及储备主管,深圳大欢喜文化艺术有限公司,8000.0
广告销售代表（双休+五险一金）,深圳市新意设计有限公司,3000.0
诚招储干/销售代表/商务顾问/业务代表 欢迎应届毕业生,深圳市时尚传媒有限公司,6000.0
直播招商专员,深圳市铂朗光电科技有限公司,4500.0
影像美术企划助理,深圳市华人盛典文化传播有限公司,10000.0
教务老师,深圳市釨骏创业贸易有限公司,3000.0
英语讲师（底薪+课酬+奖励）,上海富百群贸易有限公司,10000.0
机构教务老师,深圳爱飞扬信息科技有限公司,6000.0
新媒体运营/编辑（实习生）,深圳云盟互动网络技术有限公司,8000.0
行政专员,深圳一止上文化传播有限公司,4500.0
直招无经验零基础舞蹈演员礼仪模特,深圳市诺亚大象创意广告有限公司,5000.0
销售业务员（包住）,深圳芭蕾娜国际教育培训有限公司,3000.0
书法老师,深圳市维特教育培训有限公司,8000.0
前台文秘,深圳市调色盘文化发展有限公司,3000.0
销售,深圳巨峰文化科技有限公司,3000.0
栏目实习助理,深圳善禾益品牌管理有限公司,4500.0
后勤助理,极致文化传媒（深圳）有限公司,6000.0
课程顾问,深圳市今日快递广告策划有限公司,8000.0
AE,清华轩（深圳）书法文化艺术传播有...,3500.0
行政助理,深圳市多来咪文化产业联盟有限公司,2000.0
茶馆前台文员(3800-5000）文案营销,上海窗之外广告有限公司深圳分公司,6000.0
网络主播,深圳市天视影业文化发展有限公司,2800.0
销售专员,深圳市时代华娱文化传媒有限公司,3000.0
行政专员,深圳市万向智慧园文化传播有限公司,5000.0
客服专员,深圳市方释摄影设计有限公司,4500.0
艺术品销售,深圳市梦旅人婚庆礼仪策划有限公司,3000.0
客户主任/高级客户主任,深圳市如意时光文化传播中心,4000.0
销售助理,深圳市聚娇文化传播有限公司,3000.0
客服文员,深圳市天盛嘉禾文化传媒有限公司,5000.0
文案,深圳市青蓝紫文化艺术发展有限公司,3000.0
古筝老师,深圳市南山区卡米乐儿童摄影中心,5000.0
英语老师,誉美世界国际贸易（深圳）有限公司,5000.0
乐高老师,笔克展览服务（深圳）有限公司,6000.0
采购助理,深圳市魔天文化传播有限公司,8000.0
行政专员,深圳市天工展览策划有限公司,3000.0
空间设计师,深圳市意景廊设计有限公司,4500.0
见习预算员（安装预算）,深圳市广优文化艺术有限公司,8000.0
行政秘书/助理,深圳市美加澳文化传播有限公司,4500.0
记者、编辑,深圳市乐启发文化传播有限公司,3000.0
火热诚聘跟组演员（可培训可签约）,北京元隆雅图文化传播股份有限公司...,3000.0
房地产销售,深圳市立体文化传播有限公司,3000.0
情感分析师（销售顾问/销售代表）,深圳涧致设计有限公司,4000.0
前台文员,深圳市润昌游乐文化集团有限公司,4000.0
课程销售助理,公司名,0
化妆助理（包食宿+晋升）,深圳市点石数码科技有限公司,4500.0
市场拓展专员,深圳前海汇成咨询服务有限公司,5000.0
文化传媒实习生,深圳市艺赋文化传媒有限公司,4500.0
业务员（大浪店）,深圳市达和顺信息科技有限公司,10000.0
财经资讯整理文员,深圳市立信文化传播有限公司,15000.0
销售代表,深圳市华夏动漫科技有限公司,4500.0
公众号编辑/新媒体编辑（实习生）,深圳市品索教育科技有限公司,4500.0
项目文员,深圳市米兰新娘文化传播有限公司,2000.0
广告设计,深圳热播网络科技有限公司,4000.0
活动拓展/活动执行,珠海市埼耀科技有限公司,2000.0
平面设计师,诗淼培训管理（深圳）有限公司,3000.0
人事文员,环富通科技（深圳）有限公司,3000.0
助理3D设计师,深圳市拓时代文化发展有限公司,10000.0
数学老师物理老师化学老师,深圳朋友圈网络传媒有限公司,3500.0
文案策划,金柏电子有限公司,4000.0
销售代表,深圳市云生羽翼广告有限公司,4500.0
机器人老师,深圳市时代博睿营销策划有限公司,3000.0
行政/文员/助理,七纬一梵国际文化传播（深圳）有限...,6000.0
销售+高提成+包住等福利,深圳奇点微营销有限公司,3000.0
行政前台,深圳胡锦润设计顾问有限公司,3000.0
UI设计实习生,深圳市陈启发文化教育有限公司,6666.666666666666
海外社交媒体,正一会馆（深圳）文化管理有限公司,4000.0
微博客服,中科（深圳）博士后科技创新研究发...,10000.0
设计师,深圳市波心幻海科技有限公司,6000.0
新媒体运营专员,深圳市点击文化咨询有限公司,4500.0
人力资源专员,深圳市上河图模型有限公司,100000.0
编剧/影视策划,深圳市科翰教育科技有限公司,3800.0
修图美工师,深圳市奥艺交互设计有限公司,3000.0
文案策划,深圳市沛才科技有限公司,10000.0
普工,深圳马六甲网络科技有限公司,3000.0
销售助理（文旅行业）,深圳市司南标识设计有限公司,8000.0
平面设计师,深圳市视觉华美文化传播有限公司,3000.0
文案助理,深圳前海易联科技有限公司,3000.0
培训助理（双休+五险一金+各种福利）,深圳市谜谭动画有限公司,15000.0
美学专员/书店店员（应届毕业生亦可）,深圳市喜福文化传播有限公司,4000.0
网络主播,深圳市太和世纪文化创意有限公司,8000.0
技术会议电话邀约（实习）,极品影视设备科技（深圳）有限公司,3500.0
网络销售影视推广无需外出,深圳市普乐方文化科技股份有限公司,5000.0
市场部品牌实习生（深圳）,深圳市汇影影视制作有限公司,4000.0
无工作经验英语老师,闪与耀设计（深圳）有限公司,2000.0
高薪网络主播/网红,深圳市唯斯特企业管理咨询有限公司,5000.0
业务员,深圳市苏里文化发展有限公司,3000.0
商场VR设备营业员,深圳魅色网络传媒有限公司,8000.0
背景音乐销售,上海荣格展览有限公司,2200.0
活动执行/会务执行,深圳东影影视文化传媒有限公司,5000.0
渲染后期学员,乐智小天地（巧虎）,2000.0
业务跟单（急招）,深圳市阅悦凯拉斯文化传播有限公司,6000.0
行政人事,深圳市华荣文化传媒有限公司,10000.0
行政文员,深圳市麦展智慧科技有限公司,2000.0
剧组行政专员,深圳市前海出彩国际科技发展有限公司,3500.0
内容运营编辑（欢迎应届生）,公司名,0
编辑/文案,深圳市太华世纪文化传播有限公司,5000.0
销售代表,狮华公关顾问（上海）有限公司,6000.0
外贸专员/外贸助理,丝路视觉科技股份有限公司,3000.0
电话销售,深圳市名瑞国际展览有限公司,4500.0
