Total_position,Total_company,Salary_per_month
设计师（应届毕业生）,斯辰国际影视文化传媒（广州）有限...,3000.0
行政文员,娱游互动（广州）信息科技有限公司,12500.0
项目助理,广州辰迪公关顾问有限公司,2500.0
（代招）行政前台,广州漂移轮滑文化传播有限公司,3000.0
外贸助理,长沙柏蓉文化咨询有限公司广州分公司,4500.0
编导（实习生）,广州天机广告有限公司,2000.0
普工、学徒,广州思奇库博广告有限公司,3000.0
放映员,广州市精渡广告有限公司,3000.0
印刷学徒,广州市奔日广告有限公司,3000.0
销售助理,广州精而卓舞台设备有限公司,3000.0
人力资源实习生（激励师）,广东咏声动漫股份有限公司,2000.0
客服专员,广州标至广告制作有限公司,2000.0
助理工程师+项目提成+年终奖+包食宿,保利影业投资有限公司,3000.0
摄影助理,广东银雁文化广告有限公司,3000.0
行政前台,东方福利网,4000.0
文案策划,时趣互动（北京）科技有限公司,2000.0
项目助理（年终奖+全勤奖）,广州讯达网络技术有限公司,5000.0
展览助理设计师,广州市华崴演出器材有限公司,3333.333333333333
销售专员（子公司）,公司名,0
物流打单员，五险一金，3500-5000/月,广州市犁人摄影有限公司,2000.0
影视销售,广州亮剑广告传媒有限公司,3000.0
行政专员/前台文员,广州远思泽智广告有限公司,3000.0
运营专员,广州蒽曈广告有限公司,2000.0
项目实习生,广州朗晟展览服务有限公司,3000.0
（实习生）修图助理,南方都市报,4500.0
化妆助理,西安方正文化传播有限公司,3500.0
媒介助理/销售助理,广州衣申投广告有限公司,8000.0
平面设计师,广州谱思广告有限公司,2600.0
项目助理,广州朗顿网络科技有限公司,3000.0
见习陈列设计/展览设计,广州聚观文化传播有限公司,1600.0
综合文秘,广州市新青年广告有限公司,1500.0
招美工设计学徒,广州市晴天广告有限公司,3000.0
模型灯光渲染动画师,广州标点医药信息股份有限公司,4166.666666666667
文案策划/文案/策划（日语）,广州市远络传媒广告有限公司,3000.0
运营顾问,星韧兴尘广告有限公司,3000.0
早教助教老师,广州力辉恒宇展览有限公司,3000.0
收钱吧拉卡拉APP推广（急招）,广东兰湾智能科技有限公司,4000.0
销售管理方向,广州知客文化传播有限公司,2000.0
IT实习生（流程管理方向）,广州海视传媒有限公司,5000.0
电商客服,上海力盛赛车文化股份有限公司,4500.0
销售代表（底薪3000-5000）+提成+社保+年终奖,广州博胜信息科技有限公司,3000.0
发报员,广州蘑菇文化传播有限公司,3000.0
办公室文员,广州友腾网络科技有限公司,4500.0
商务助理,广州市千信文化传媒有限公司,8000.0
电话营销员（底薪4K起）,奥飞娱乐股份有限公司,2000.0
连锁门店店员,广州旗云智尚品牌策划有限公司,3000.0
数码印刷机长及学徒,广州和一会展服务有限公司,3000.0
市场营销专员,腾鸽传媒（广州）有限公司,2000.0
销售助理-广州,广州市中奥企业管理有限公司,2500.0
少儿英语教师（实习岗位）,北京鸿特卓博咨询服务有限公司,5000.0
行政助理,广州帷道营销策划有限公司,6000.0
广告文案策划（绩效+社保）,广州泛音科技有限公司,3500.0
出纳,广州印特丽科技有限公司,6666.666666666666
建筑效果图学员（长期招聘）,广州富邦文化科技集团有限公司,4500.0
助理空间设计师,北京猫眼文化传媒有限公司,5000.0
内容运营,广州乐贝文化发展有限公司,3000.0
平面设计,广州铭毅腾广告有限公司,2000.0
销售人员与经理,广州市号马广告有限公司,6000.0
网络推广专员（周末双休）,广州龙象文化传播有限公司,4000.0
节目版面编辑,丝路视觉科技股份有限公司广州分公司,2000.0
高薪/平面模特,广州传势空间设计有限公司,3500.0
行政专员,小猫科技股份有限公司,6000.0
电话销售,广东博浩展览发展有限公司,4500.0
文案编辑,广州晶铂光电科技有限公司,12500.0
书店店员（白云机场）,广州搜发网络科技有限公司,8000.0
舞台技术实习生,广东高尔夫频道有限公司,3000.0
项目申报专员,广州星聚传媒有限公司,4500.0
售后专员/线上跟单专员,广州有好戏网络科技有限公司,3000.0
市场/营销专员,广州市中谦信息科技有限公司,3000.0
广告跟单助理,公司名,0
行政人员,广州壹传诚文化传播有限公司,3500.0
公众号运营,中信出版集团股份有限公司,4500.0
展览设计师（应届毕业生）,广州大剧院管理有限公司,0
人事助理兼前台,《中国家庭医生》杂志社有限公司,4000.0
平面设计师,LAVA MUSIC 拿火音乐,3000.0
客户经理,广州三格广告有限公司,3000.0
客服文员,广州点屏信息技术有限公司,4500.0
厨工/厨师助理/学徒,广州市中亮印刷品设计有限公司,3000.0
平面设计助理,广州龙图群腾文化传播有限公司,4500.0
网络销售专员（双休+五险一金+月入8000千）,广州市创汇展览设计有限公司,2000.0
文化类产品经理,广州汇峰文化传媒股份有限公司,3000.0
广告优化实习生,广州月映广告有限公司,4500.0
实习编导,北京亚视凤凰广告有限公司,4500.0
播控专员,广州市大海豚文化发展有限公司,2800.0
艺考影视编导老师,广州良膳餐饮管理有限公司,3000.0
广告销售,当道（广州）品牌整合传播有限公司,3000.0
邀约文员+包住+双休,广州广鸿传媒有限公司,6000.0
执行美指,北京兰丹文化传媒有限公司,5000.0
插画师,广州风腾网络科技有限公司,3000.0
人事实习生,广州珠江移动多媒体信息有限公司,3000.0
产品运营/产品策划/产品经理助理/产品专员,广州韵洪嘉泽广告有限公司,3500.0
室内3d绘图师,广州益考文化活动策划有限公司,8000.0
广告执行,未来传媒广告（广州）有限公司,6000.0
普工,广州市优嘉房地产代理有限公司,4500.0
平面设计实习生,广州市菏巴途广告有限公司,3000.0
设计师,广州市形上即得文化传播有限公司,4500.0
平面设计,广东创世纪文化传播有限公司,2200.0
签约演员.模特.歌手（宣传推广）,北京尚可卓博信息科技有限公司,6500.0
新媒体运营助理,广州春夏秋冬文化传播有限公司,5000.0
前台行政,北京派瑞威行广告有限公司,4000.0
平面设计师,广州金点子展示用品有限公司,2000.0
大客户销售（会奖旅游方向）,广州真颜广告有限公司,2000.0
业务销售代表,广州威楷设计有限公司,3000.0
销售专员(百分之40提成）,广州简点企业形象策划有限公司,3000.0
从化营业顾问/销售代表/销售顾问（朝9晚5）,北京龙族星工厂娱乐有限公司,6666.666666666666
互联网广告销售（高底薪+周末双休+五险一金）,易简广告传媒集团股份有限公司,3000.0
文案撰写,广州盛智营销策划有限公司,2000.0
销售代表（包住、五险）,广州市光悦展览服务有限公司,3000.0
前台文员,广东南湖国际旅行社有限责任公司,8000.0
媒介助理,广州大祝展览装饰工程有限公司,5000.0
创意营销/文案活动策划,广东佳丰兆投资控股有限公司,8000.0
实习销售工程师（舞台灯光行业）,广州市世纪兆业经济发展有限公司,4500.0
售后客服专员/行政文员,广东典星信息科技有限公司,8000.0
项目助理,广州粤纵广告有限公司,4000.0
培训机构 前台,广州小目标信息科技有限公司,6000.0
普工,广州市汇志文化传播股份有限公司,3000.0
市场营销专员,广州鑫杨广告有限公司,4500.0
活动执行专员,广州市鸿蒙广告有限公司,3000.0
古典文学编辑,广州市谷承科电子科技有限公司,3000.0
店员,广州富湾贸易有限公司,3000.0
书店营业员,公司名,0
销售顾问,广州天唯展览服务有限公司,3000.0
客服专员,广州市西图展示设计有限公司,3000.0
影城储备干部,广州市夏华喷绘有限公司,4500.0
银行实习生8名,广州影院帮信息技术有限公司,3000.0
客户经理/销售经理（汽车用品）,广州麦啦啦文化传播有限公司,5000.0
客服专员,广州蓝洋文化传播有限公司,4000.0
财务文员,广州昕思公共关系服务有限公司,2000.0
项目材料助理（周末双休）,广东学而优图书文化发展有限公司,2000.0
业务员,广和（广州）文化发展有限公司,6000.0
网络客服专员,广州钱鹿科技有限公司,3500.0
助理AE（实习生）,广州畅想影业传媒有限公司,2500.0
美体学徒,上海东藏文化传播有限公司,4500.0
销售实习生（无责任底薪+双休）,广州宣威广告有限公司,4000.0
生产/穿珠/手工制作,广州尊享国际旅行社有限公司,2500.0
淘宝客服,广州市家御广告制作有限公司,3000.0
管理培养生,广州立品品牌策划有限公司,4500.0
急招礼服师,唐彩广告,3000.0
广告生产制作学徒,广州高博斯文化发展有限公司,3000.0
活动执行专员,广州远度广告有限公司,2000.0
有机车间普工,广州柏灵心妆文化艺术传播有限公司,6000.0
广告AE 实习生,广州亿川广告有限公司,3000.0
销售助理,广州心如莲华文化传播有限公司,3000.0
销售代表（广州）,广州彩色王广告有限公司,6000.0
销售经理（000612）,广州招商帮传媒有限公司,3000.0
客服专员  可招应届实习生,广州大象映画摄影有限公司,3000.0
幼少儿英语老师,广州天鹰喷绘有限公司,3200.0
实习生、在校学生临时工,广州市贝尼文化传媒有限公司,3000.0
国内业务员,广州市创亿德利工艺品有限公司,4500.0
管理培训生,广州正韬广告有限公司,2000.0
广告客户经理(广州）,广州朝野文化发展有限公司,5000.0
设计师助理（实习生）,广州元贞广告有限公司,5000.0
行政人事助理兼前台,北京万方数据股份有限公司,6000.0
财务会计助理,广东木子企画广告传播有限公司,2200.0
业务销售,广州天亿文化传媒有限公司,6000.0
会计助理（实习生）,广州佳美展览有限公司,1500.0
车展招商专员,广州市白云区石井鼎艺招牌制造厂,3000.0
优化师,魔豆教育科技（广州）有限公司,6000.0
数据文员,上海迪岸广告有限公司,4500.0
角色建模,广州火山歌文化产业发展有限公司,2000.0
业务员,广州双威展览服务有限公司,2800.0
行政前台,广州恒品会展服务有限公司,2000.0
电话销售(4000+提成+五险一金）,广州汤臣杰逊网络科技有限公司,6000.0
播出工程师实习生,永乐票务,2000.0
广告美工，平面设计美工，,海灵控股,6000.0
前台文员,上海拓畅信息技术有限公司北京分公司,4000.0
实习生,上海和尊商务经济信息咨询有限公司,3000.0
电话销售,广州悦派信息科技有限公司,4000.0
客户助理,广州市睿影文化传播有限公司,3000.0
销售业务员,广州青葱贸易有限公司,3000.0
实习会计,广东微米文化传播有限公司,6000.0
淘宝美工,公司名,0
动画后期总监,广东广播电视台南方购物,1100.0
行政前台（包吃包住、靠地铁站）,广州集集昇电子科技有限公司,2800.0
电话销售,分众传媒,2000.0
广告销售经理,广州易美文化传播有限公司,3000.0
普工,广东博艺广告有限公司,3000.0
人事专员,广州市骏雅创意广告有限公司,3000.0
平面设计（双休/应届）,广州市奥纳电子工程有限公司,2500.0
平面设计助理,广东恢宏广告有限公司,2000.0
营运担当,广州梵沃文化传播有限公司,3000.0
公关经理/市场公关,江西务本传媒有限公司,10000.0
优秀实习生,广州迪智尼文化传播有限公司,3000.0
酷狗主播,广州市千视文化传媒有限公司,8000.0
广告投放优化师（平台好+晋升快+待遇优厚）,中外名人文化产业集团有限公司,4500.0
电影行业销售精英,广州市创笙演出器材有限公司,2000.0
销售助理,广州市盛世蓝创企业管理有限公司,3500.0
会计,广州市隽毅品牌创意科技有限公司,2000.0
网络推广,广州爱奇展览股份有限公司,2000.0
销售代表,上海中盈展览服务有限公司广州分公司,4500.0
平面设计师,广州枫烨展览服务有限公司,4000.0
新媒体（电子书）编辑实习生,广州市问鼎文化活动策划有限公司,3000.0
高提成急聘销售精英,广州兰思星文化传播有限公司,6000.0
境外会展顾问,广州橙子网络科技有限公司,3000.0
网络接单员,广州看购网络科技有限公司,6000.0
销售培训生,广州六六道网络科技有限公司,3500.0
